sample,date,location,coliform_count
1,01/08/2008 11:15,upstream,2909
2,02/04/2008 10:30,upstream,2382
3,03/03/2008 10:48,upstream,2046
4,04/08/2008 10:25,upstream,1483
5,05/09/2008 11:19,upstream,4611
6,06/09/2008 10:10,upstream,3448
7,08/04/2008 10:30,upstream,4106
8,12/04/2008 13:40,upstream,2755
9,12/09/2008 10:30,upstream,3448
10,01/06/2009 11:06,upstream,2098
11,2/19/2009 11:00,upstream,789
12,2/26/2009 11:30,upstream,988
13,03/12/2009 11:10,upstream,1187
14,3/24/2009 11:00,upstream,638
15,04/07/2009 10:06,upstream,2481
16,4/28/2009 10:20,upstream,2481
17,05/04/2009 11:23,upstream,3654
18,5/19/2009 10:38,upstream,3130
19,06/10/2009 10:50,upstream,4611
20,6/23/2009 10:53,upstream,2755
21,07/07/2009 09:30,upstream,3076
1,01/08/2008 11:15,downstream,2359
2,02/04/2008 10:30,downstream,3873
3,03/03/2008 10:48,downstream,1725
4,04/08/2008 10:25,downstream,771
5,05/09/2008 11:19,downstream,1529
6,06/09/2008 10:10,downstream,2909
7,08/04/2008 10:30,downstream,2014
8,12/04/2008 13:40,downstream,1872
9,12/09/2008 10:30,downstream,2481
10,01/06/2009 11:06,downstream,613.1
11,2/19/2009 11:00,downstream,733
12,2/26/2009 11:30,downstream,960
13,03/12/2009 11:10,downstream,833
14,3/24/2009 11:00,downstream,388
15,04/07/2009 10:06,downstream,1421
16,4/28/2009 10:20,downstream,933
17,05/04/2009 11:23,downstream,1076
18,5/19/2009 10:38,downstream,1374
19,06/10/2009 10:50,downstream,1553
20,6/23/2009 10:53,downstream,1198
21,07/07/2009 09:30,downstream,1299.7
