id,toptim,agegp3
440,28,18 - 29
300,35,18 - 29
24,19,18 - 29
138,40,18 - 29
53,24,18 - 29
416,31,18 - 29
87,31,18 - 29
264,39,18 - 29
517,29,18 - 29
331,20,18 - 29
342,29,18 - 29
235,31,18 - 29
437,34,18 - 29
14,33,18 - 29
28,30,18 - 29
231,27,18 - 29
489,30,18 - 29
367,26,18 - 29
467,36,18 - 29
485,33,18 - 29
162,30,18 - 29
478,33,18 - 29
143,36,18 - 29
329,24,18 - 29
372,27,18 - 29
312,35,18 - 29
405,33,18 - 29
376,30,18 - 29
378,31,18 - 29
500,25,18 - 29
321,33,18 - 29
486,32,18 - 29
89,38,18 - 29
86,30,18 - 29
62,32,18 - 29
429,32,18 - 29
29,37,18 - 29
531,36,18 - 29
463,30,18 - 29
142,34,18 - 29
76,35,18 - 29
502,33,18 - 29
77,31,18 - 29
230,34,18 - 29
511,34,18 - 29
542,31,18 - 29
64,36,18 - 29
528,25,18 - 29
213,37,18 - 29
480,35,18 - 29
414,29,18 - 29
413,34,18 - 29
136,31,18 - 29
366,36,18 - 29
160,34,18 - 29
539,32,18 - 29
37,28,18 - 29
306,30,18 - 29
88,24,18 - 29
90,31,18 - 29
9,19,30 - 44
307,26,30 - 44
183,16,30 - 44
540,22,30 - 44
7,28,30 - 44
459,24,30 - 44
533,19,30 - 44
109,26,30 - 44
337,18,30 - 44
509,24,30 - 44
311,24,30 - 44
499,26,30 - 44
254,27,30 - 44
419,22,30 - 44
161,21,30 - 44
40,20,30 - 44
32,16,30 - 44
216,29,30 - 44
107,16,30 - 44
406,20,30 - 44
206,24,30 - 44
454,22,30 - 44
534,20,30 - 44
451,19,30 - 44
302,21,30 - 44
488,23,30 - 44
483,19,30 - 44
286,28,30 - 44
164,17,30 - 44
293,24,30 - 44
111,23,30 - 44
211,22,30 - 44
516,19,30 - 44
220,29,30 - 44
464,25,30 - 44
357,22,30 - 44
44,25,30 - 44
204,24,30 - 44
106,18,30 - 44
335,26,30 - 44
84,20,30 - 44
374,21,30 - 44
375,18,30 - 44
265,21,30 - 44
30,24,30 - 44
417,24,30 - 44
492,17,30 - 44
